AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT
2024;1;9;LICEO POLITECNICO ARICA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;63;2185;2;82;0;0;1;44;0;0;0;0;1;44;1;44;1;44;0;0;1;34;0;0;0;0;0;0;0;0;70;2477
2024;2;7;PARVULARIO LAS ESPIGUITAS;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;10;357;0;0;0;0;1;44;1;5;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;450
2024;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;AYP;151;15101;ARICA;151;ARICA;6;5;1;1;24;1026;0;0;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;1114
2024;4;3;LICEO OCTAVIO PALMA PEREZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;59;2349;0;0;0;0;1;44;7;268;0;0;1;44;2;88;3;132;0;0;0;0;0;0;0;0;0;0;0;0;73;2925
2024;5;1;JOVINA NARANJO FERNANDEZ;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;53;1970;0;0;1;44;1;44;4;162;0;0;2;88;1;44;3;118;0;0;0;0;0;0;0;0;0;0;1;19;66;2489
2024;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;88;3593;4;162;0;0;1;44;3;84;0;0;1;44;2;88;2;88;0;0;0;0;0;0;0;0;0;0;0;0;101;4103
2024;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;51;1841;0;0;0;0;1;44;6;173;0;0;1;44;2;88;1;44;1;44;0;0;0;0;0;0;0;0;0;0;63;2278
2024;9;4;ESCUELA REPUBLICA DE ISRAEL;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;76;3122;1;44;0;0;1;44;7;276;0;0;0;0;2;88;2;88;0;0;1;44;0;0;0;0;0;0;0;0;90;3706
2024;10;8;ESCUELA REPUBLICA DE FRANCIA;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;12;453;0;0;1;44;1;44;5;169;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;21;798
2024;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;AYP;151;15101;ARICA;151;ARICA;6;5;0;1;22;856;0;0;0;0;1;44;2;82;0;0;1;44;1;44;1;44;0;0;1;44;0;0;0;0;0;0;0;0;29;1158
